Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,Antwon Rose: Pittsburgh officer charged with criminal homicide https://t.co/WKZw6ZUuuq,Wed Jun 27 19:25:28 +0000 2018,-0.6369,0.0,0.574,0.426,77
@BBCWorld,RT @awzurcher: Your daily “elections have consequences” reminder. If Hillary Clinton had won we’d be looking at a 6-3 liberal majority on t…,Wed Jun 27 18:52:22 +0000 2018,0.5719,0.15,0.85,0.0,78
@BBCWorld,Trump Supreme Court pick: Why is the US top court so important? https://t.co/580QVujKIz,Wed Jun 27 18:47:17 +0000 2018,0.7574,0.428,0.572,0.0,79
@BBCWorld,Trump-Putin summit agreed by US and Russia in principle https://t.co/H20hvks2hD,Wed Jun 27 18:33:54 +0000 2018,0.2732,0.189,0.811,0.0,80
@BBCWorld,"RT @awzurcher: Without Anthony Kennedy on the US Supreme Court, there really won't be a swing justice. Whoever replaces him will move the C…",Wed Jun 27 18:28:47 +0000 2018,0.2081,0.132,0.767,0.101,81
@BBCWorld,Migrant rescue ship Lifeline docks in Malta after days at sea https://t.co/pLQhBmVTbl,Wed Jun 27 18:20:44 +0000 2018,0.5106,0.231,0.769,0.0,82
@BBCWorld,"RT @BBCBreaking: A Supreme Court justice is to retire, giving President Trump the chance to reshape the top US court https://t.co/OC80dTFbCL",Wed Jun 27 18:18:56 +0000 2018,0.9042,0.468,0.532,0.0,83
@BBCWorld,US Supreme Court judge to retire https://t.co/Q2SoQLC0HF,Wed Jun 27 18:18:12 +0000 2018,0.5574,0.375,0.625,0.0,84
@BBCWorld,Where are heterosexual civil partnerships legal? https://t.co/L4EW8Xrfai,Wed Jun 27 17:38:31 +0000 2018,0.128,0.2,0.8,0.0,85
@BBCWorld,Thailand cave rescue: How would you survive in a cave? https://t.co/eOxaFwfBXL,Wed Jun 27 17:21:19 +0000 2018,0.5106,0.268,0.732,0.0,86
@BBCWorld,Saudi TV presenter investigated over 'indecent' clothing https://t.co/R3piggod6s,Wed Jun 27 17:00:49 +0000 2018,0.0,0.0,1.0,0.0,87
@BBCWorld,Chemical weapons: New watchdog powers an important step https://t.co/tO3e5qzzB4,Wed Jun 27 16:50:38 +0000 2018,-0.2732,0.154,0.598,0.248,88
@BBCWorld,Joe Jackson: Patriarch of Jackson family dies aged 89 https://t.co/J4f5joitPL,Wed Jun 27 16:43:09 +0000 2018,0.0,0.0,1.0,0.0,89
@BBCWorld,Galapagos' Sierra Negra volcano eruption triggers evacuation https://t.co/oZchuUuOJI,Wed Jun 27 16:22:48 +0000 2018,0.0,0.0,1.0,0.0,90
@BBCWorld,OPCW chemical watchdog gains power to assign blame https://t.co/AZW3dyG0SG,Wed Jun 27 16:07:08 +0000 2018,0.0,0.203,0.593,0.203,91
